Sławomir,Kot,4611,2000-02-12,Informatyka dzienne,Dzienne,380@pjwstk.edu.pl,Alina,Tomasz
Przemysław,Jasny,2137,2001-02-12,Informatyka zaoczne,Zaoczne,376@pjwstk.edu.pl,Anna,Daniel
Miroslaw,Kuc,8871,1992-01-22,Informatyka dzienne,Dzienne,381@pjwstk.edu.pl,Danuta,Emil
Jan,Zielinski,4567,1998-03-12,Informatyka zaoczne,Zaoczne,336@pjwstk.edu.pl,Zofia,Janusz
Karol,Nowak,9087,2001-05-16,Informatyka dzienne,Dzienne,180@pjwstk.edu.pl,Hanna,Adam
Jakub,Lewandowski,3333,2000-02-12,Informatyka zaoczne,Zaoczne,376@pjwstk.edu.pl,Monika,Krzysztof
Odkurzacz,Zelmer,1111,1991-05-31,Informatyka nieobecnie,Zaoczne,s16324@pjwstk.edu.pl,Marian,Pazdzioch
Damian,Naleśnik,7608,1999-04-11,Geografia,Dzienne,s7608@pjwstk.edu.pl,Tomasz,Bebech
Jakubek,Lewandowski,6666,1991-05-31,Informatyka,Zaoczne,6666@pjwstk.edu.pl,asdasdas,asdasd
Basz,Kot,7777,1991-05-31,Informatyka,Zaoczne,7777@pjwstk.edu.pl,asdasdas,asdasd
